"user_id","created_at","status_id","text","lang","mentions_screen_name","urls_url","hashtags"
"2151161552","1615386009","1369654309739245568","Ajuda a mantenir els negocis oberts
a mantenir els llocs de treball
a omplir de vida la ciutat. 

Vine al centre! 
Compra al cor de la ciutat i fes Barcelona!
#MaiEnsAturem 
URLURL","ca",,"maiensaturem.barcelona","MaiEnsAturem"
"403284133","1615391468","1369677207782756362","#21Març Dia Internacional per a l'Eliminació de la Discriminació Racial   USER #AEiGCollformic #MijacSanferm USER Una proposta peramb joves sobre la prevenció de pràctiques racistesGerd Altmann | Pixabay URLURL","ca","c(""VerSembrant"", ""vicjove"")","youtu.be/ziyolP_D7Oc","c(""21Març"", ""AEiGCollformic"", ""MijacSanferm"")"
"158698790","1615131020","1368584808457244672"," L'api és producte de temporada tot l'hivern  Sabies que té la curiositat de treure més calories de les que aporta quan es menja?  URL","ca",,,
"2929707725","1615129201","1368577182839152641","Ja està en marxa el nou servei dassessorament per a entitats sense ànim de lucre

Gestionat per l'USER, és una eina gratuïta i individualitzada per rebre suport jurídic, econòmic o laboral, entre d'altres

Només cal omplir el formulariURLURL","ca","Ofvoluntariatsc","voluntariat.santcugat.cat/assessorament/",
"4506100648","1615395831","1369695508961361923","L'escenari de la Sala Petita d'Osona  plató televisiu improvisat.

Gràcies USER per l'entrevista i a l'equip de USER per la predisposició! 

#TeatretsOsona #teatre #cultura #Osona URL","ca","c(""TaronjaTV"", ""Les80Ties"")",,"c(""TeatretsOsona"", ""teatre"", ""cultura"", ""Osona"")"
"959440457116848128","1615129209","1368577214133002249"," estimem el barçaaaaa  URL","ca",,,
"1009136281400610816","1615390906","1369674851355615239","la frangia URL","ca",,,
"375085056","1615395143","1369692620352544778","Algú em pot explicar per què hi ha un modulor de Le Corbusier en aquesta mitjanera de Travessera de Gràcia?? Per aquí viu algun arquitecte freak? 

Porto anys preguntant-mho necessito saber-ho URL","ca",,,
"479992743","1615129314","1368577655461867521","Canale 21 
Così parló Bellavista
Now, un cult.
URL","ca",,"youtu.be/dfiU4P_eEw4",
"193176134","1615134116","1368597795146522624","Goooooooooooool 
Com la col·loca USER 
Som-hi USER URL","ca","c(""sergiocortes07"", ""UELlagostera"")",,
"1083875574769172480","1615119030","1368534520488681479","Maryam Aurangzeb the proud Daughter of Pakistan

A pride for PML-N
___ URL","ca",,,
"147243818","1615129568","1368578721360314370","El derbi entre la USER i el USER es juga a USER URL#FutbolCat #3div5 URL","ca","c(""UEValls"", ""CFPoblaMafumet"", ""rcvalls"")","youtube.com/watch?v=HXt9M1…","c(""FutbolCat"", ""3div5"")"
"334944923","1615132189","1368589712668114946","Acabei de adicionar Ku Kaen San Rak ... à minha biblioteca! #tvtime URLURL","ca",,"tvtime.com/r/1FTWc","tvtime"
"227110567","1615134774","1368600554918789120","el geògraf i científic MARTÍ BOADA, irromp en la poesia, abrandament existencial per. POESIA FORESTAL URLUSER URL","ca","iec","elcepilanansa.com/producte/poesi…",
"870222789101453313","1615385987","1369654217426821121","Entrevista a Olga Pérez, coordinadora de les llevadores de les Terres de lEbre, i Sara Canalda, llevadora


URLUSER USER URL","ca","c(""Canal21Ebre"", ""icscat"")","bit.ly/3qFjNFu",
"1292075262453133313","1615393114","1369684112966057987","Vesprada amb alguns núvols decoratius. Imatges de Carlos Sánchez Castelló desde beniarbeig (marina alta). USER USER USER USER USER USER USER #BonaVespradaAPunt URL","ca","c(""apuntoratge"", ""llobiols"", ""jcfortea"", ""VictoriaBotey"", ""oratgenet"", ""terravivaapunt"", ""BonaVespradaAP"")",,"BonaVespradaAPunt"
"110514221","1615129201","1368577182373605385","Les entitats socials reclamen una resposta clara a la crisi: ""Que ningú pensi que la vacuna és l'antídot a la pobresa"". Arrels, Càritas o Creu Roja constaten l'increment de necessitats vitals per a moltes persones durant la pandèmia
URLURL","ca",,"eixdiari.cat/societat/doc/9…",
"1265556377705070597","1615120821","1368542032315232258","Esperant que ens convideu als vostres actes del 8 de març URL","ca",,,
"3343845251","1615129361","1368577852757733378","Concepció bananera de leconomia URL","ca",,,
"246552968","1615387544","1369660751112249344","Gent de #Tàrrega... llegiu aquestes meravelles de la revista Crònica Targarina de 1933... Impagables!!! USER USER USER USER URL","ca","c(""ajtarrega"", ""novatarrega"", ""MuseuTarrega"", ""CulturaTarrega"")",,"Tàrrega"
"327384176","1615396400","1369697892961751041","A la mare no li agrada la muntanya, és més de passejar pel centre comercial i veure les tendes. Hui l'he portat allí a passar el matí que com està de baixa diu que s'avorreix. A la vesprada li he dit que vinguera a pasturar i no s'avorriria. He tingut la millor visita del món! URL","ca",,,
"946589068707749889","1615389375","1369668427594559505","Luciano Pavarotti sings ""Nessun dorma"" from Turandot (The Three Tenors i... URLa través de USER","ca","YouTube","youtu.be/cWc7vYjgnTs",
"263571055","1615395920","1369695881348415488","Concurs dil·lustració 'Març Feminista' per a joves de 12 a 18 anys. 

  Inscripcions fins al 31 de març

  URLUSER  USER  #8M URL","ca","c(""JovesSagnier"", ""BCN_Dones"")","ow.ly/DJhh50DMlEV","8M"
"3817329856","1615397253","1369701473655873536","Dons sestà trencant la dreta espanyola, per més que Aznar digués que es trencaria abans Catalunya... URL","ca",,,
